prot_index,ph,note,ph_dependence,uniprot_id
1946,7.5,{ECO:0000269|PubMed:20089856};,Optimum pH is 7.5-9.0. {ECO:0000269|PubMed:20089856};,Q5QJU3
1946,9.0,{ECO:0000269|PubMed:20089856};,Optimum pH is 7.5-9.0. {ECO:0000269|PubMed:20089856};,Q5QJU3
1947,6.5,"{ECO:0000269|PubMed:21048316, ECO:0000269|PubMed:21168333};","Optimum pH is 6.5-7. {ECO:0000269|PubMed:21048316, ECO:0000269|PubMed:21168333};",Q5RJP0
1947,7.0,"{ECO:0000269|PubMed:21048316, ECO:0000269|PubMed:21168333};","Optimum pH is 6.5-7. {ECO:0000269|PubMed:21048316, ECO:0000269|PubMed:21168333};",Q5RJP0
1948,8.0,{ECO:0000269|PubMed:10879563};,Optimum pH is 8-10. {ECO:0000269|PubMed:10879563};,Q5RLZ1
1948,10.0,{ECO:0000269|PubMed:10879563};,Optimum pH is 8-10. {ECO:0000269|PubMed:10879563};,Q5RLZ1
1949,6.5,{ECO:0000269|PubMed:15820213};,Optimum pH is between 6.5-7.5. {ECO:0000269|PubMed:15820213};,Q5S3I3
1949,7.5,{ECO:0000269|PubMed:15820213};,Optimum pH is between 6.5-7.5. {ECO:0000269|PubMed:15820213};,Q5S3I3
1958,6.5,Inactive at or below pH 5.0. {ECO:0000269|PubMed:15326166};,Optimum pH is 6.5-7.5. Inactive at or below pH 5.0. {ECO:0000269|PubMed:15326166};,Q5W915
1958,7.5,Inactive at or below pH 5.0. {ECO:0000269|PubMed:15326166};,Optimum pH is 6.5-7.5. Inactive at or below pH 5.0. {ECO:0000269|PubMed:15326166};,Q5W915
1961,7.0,{ECO:0000269|PubMed:24156403};,Optimum pH is 7-8. {ECO:0000269|PubMed:24156403};,Q5XF51
1961,8.0,{ECO:0000269|PubMed:24156403};,Optimum pH is 7-8. {ECO:0000269|PubMed:24156403};,Q5XF51
1964,5.5,{ECO:0000269|PubMed:15388846};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:15388846};,Q5YDB5
1964,6.0,{ECO:0000269|PubMed:15388846};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:15388846};,Q5YDB5
1965,5.5,{ECO:0000269|PubMed:15388846};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:15388846};,Q5YDB6
1965,6.0,{ECO:0000269|PubMed:15388846};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:15388846};,Q5YDB6
1969,6.6,{ECO:0000269|PubMed:34826402};,Optimum pH is 6.6-6.8. {ECO:0000269|PubMed:34826402};,Q5ZWR1
1969,6.8,{ECO:0000269|PubMed:34826402};,Optimum pH is 6.6-6.8. {ECO:0000269|PubMed:34826402};,Q5ZWR1
1970,10.0,"for the oxidative deamination of L-leucine, L-isoleucine and L-valine. {ECO:0000269|PubMed:8020469};","Optimum pH is 10.0-10.5 for the oxidative deamination of L-leucine, L-isoleucine and L-valine. {ECO:0000269|PubMed:8020469};",Q60030
1970,10.5,"for the oxidative deamination of L-leucine, L-isoleucine and L-valine. {ECO:0000269|PubMed:8020469};","Optimum pH is 10.0-10.5 for the oxidative deamination of L-leucine, L-isoleucine and L-valine. {ECO:0000269|PubMed:8020469};",Q60030
1971,7.0,"{ECO:0000269|PubMed:16621811, ECO:0000269|PubMed:20392112};","Optimum pH is 7-9. {ECO:0000269|PubMed:16621811, ECO:0000269|PubMed:20392112};",Q60352
1971,9.0,"{ECO:0000269|PubMed:16621811, ECO:0000269|PubMed:20392112};","Optimum pH is 7-9. {ECO:0000269|PubMed:16621811, ECO:0000269|PubMed:20392112};",Q60352
1972,7.5,for tyrosine decarboxylase activity. {ECO:0000269|PubMed:15715981};,Optimum pH is 7.5-8.5 for tyrosine decarboxylase activity. {ECO:0000269|PubMed:15715981};,Q60358
1972,8.5,for tyrosine decarboxylase activity. {ECO:0000269|PubMed:15715981};,Optimum pH is 7.5-8.5 for tyrosine decarboxylase activity. {ECO:0000269|PubMed:15715981};,Q60358
1983,7.0,{ECO:0000269|PubMed:15955071};,Optimum pH is 7-9. {ECO:0000269|PubMed:15955071};,Q64FJ6
1983,9.0,{ECO:0000269|PubMed:15955071};,Optimum pH is 7-9. {ECO:0000269|PubMed:15955071};,Q64FJ6
1988,8.0,"{ECO:0000269|PubMed:16443693, ECO:0000269|PubMed:17323078};","Optimum pH is 8-8.5. {ECO:0000269|PubMed:16443693, ECO:0000269|PubMed:17323078};",Q66PF4
1988,8.5,"{ECO:0000269|PubMed:16443693, ECO:0000269|PubMed:17323078};","Optimum pH is 8-8.5. {ECO:0000269|PubMed:16443693, ECO:0000269|PubMed:17323078};",Q66PF4
1989,7.0,with pelargonidin and cyanidin as substrates. {ECO:0000269|PubMed:18258692};,Optimum pH is 7-8 with pelargonidin and cyanidin as substrates. {ECO:0000269|PubMed:18258692};,Q66PF5
1989,8.0,with pelargonidin and cyanidin as substrates. {ECO:0000269|PubMed:18258692};,Optimum pH is 7-8 with pelargonidin and cyanidin as substrates. {ECO:0000269|PubMed:18258692};,Q66PF5
1993,8.0,{ECO:0000269|PubMed:21122813};,Optimum pH is 8-8.5. {ECO:0000269|PubMed:21122813};,Q67YC0
1993,8.5,{ECO:0000269|PubMed:21122813};,Optimum pH is 8-8.5. {ECO:0000269|PubMed:21122813};,Q67YC0
1997,7.5,"{ECO:0000269|PubMed:15878763, ECO:0000269|PubMed:22113970};","Optimum pH is 7.5-8.0. {ECO:0000269|PubMed:15878763, ECO:0000269|PubMed:22113970};",Q68G84
1997,8.0,"{ECO:0000269|PubMed:15878763, ECO:0000269|PubMed:22113970};","Optimum pH is 7.5-8.0. {ECO:0000269|PubMed:15878763, ECO:0000269|PubMed:22113970};",Q68G84
2003,6.5,{ECO:0000269|Ref.2};,Optimum pH is 6.5-7.0. {ECO:0000269|Ref.2};,Q6C354
2003,7.0,{ECO:0000269|Ref.2};,Optimum pH is 6.5-7.0. {ECO:0000269|Ref.2};,Q6C354
2004,8.0,{ECO:0000269|Ref.3};,Optimum pH is 8.0-8.5. {ECO:0000269|Ref.3};,Q6C793
2004,8.5,{ECO:0000269|Ref.3};,Optimum pH is 8.0-8.5. {ECO:0000269|Ref.3};,Q6C793
2024,6.0,{ECO:0000269|PubMed:17652095};,Optimum pH is 6.0-8.0. {ECO:0000269|PubMed:17652095};,Q6NLA5
2024,8.0,{ECO:0000269|PubMed:17652095};,Optimum pH is 6.0-8.0. {ECO:0000269|PubMed:17652095};,Q6NLA5
2034,6.0,{ECO:0000269|PubMed:21030590};,Optimum pH is 6-10. {ECO:0000269|PubMed:21030590};,Q6Q272
2034,10.0,{ECO:0000269|PubMed:21030590};,Optimum pH is 6-10. {ECO:0000269|PubMed:21030590};,Q6Q272
2037,8.0,with all-trans-beta-carotene as substrate. {ECO:0000269|PubMed:16672231};,Optimum pH is 8.0-8.5 with all-trans-beta-carotene as substrate. {ECO:0000269|PubMed:16672231};,Q6QT07
2037,8.5,with all-trans-beta-carotene as substrate. {ECO:0000269|PubMed:16672231};,Optimum pH is 8.0-8.5 with all-trans-beta-carotene as substrate. {ECO:0000269|PubMed:16672231};,Q6QT07
2038,8.0,Active from pH 4.5 to 10. Stable from pH 4 to 11. {ECO:0000269|PubMed:9210340};,Optimum pH is 8.0-8.5. Active from pH 4.5 to 10. Stable from pH 4 to 11. {ECO:0000269|PubMed:9210340};,Q6QWR1
2038,8.5,Active from pH 4.5 to 10. Stable from pH 4 to 11. {ECO:0000269|PubMed:9210340};,Optimum pH is 8.0-8.5. Active from pH 4.5 to 10. Stable from pH 4 to 11. {ECO:0000269|PubMed:9210340};,Q6QWR1
2039,7.0,{ECO:0000269|PubMed:19286665};,Optimum pH is 7-7.5. {ECO:0000269|PubMed:19286665};,Q6RET3
2039,7.5,{ECO:0000269|PubMed:19286665};,Optimum pH is 7-7.5. {ECO:0000269|PubMed:19286665};,Q6RET3
2042,8.5,{ECO:0000269|PubMed:17567574};,Optimum pH is 8.5-9. {ECO:0000269|PubMed:17567574};,Q6TEC1
2042,9.0,{ECO:0000269|PubMed:17567574};,Optimum pH is 8.5-9. {ECO:0000269|PubMed:17567574};,Q6TEC1
2043,5.5,"{ECO:0000269|PubMed:17320169, ECO:0000269|PubMed:30534149};","Optimum pH is 5.5-9.5. {ECO:0000269|PubMed:17320169, ECO:0000269|PubMed:30534149};",Q6TGQ8
2043,9.5,"{ECO:0000269|PubMed:17320169, ECO:0000269|PubMed:30534149};","Optimum pH is 5.5-9.5. {ECO:0000269|PubMed:17320169, ECO:0000269|PubMed:30534149};",Q6TGQ8
2044,7.5,{ECO:0000269|PubMed:17929833};,Optimum pH is 7.5-8.0. {ECO:0000269|PubMed:17929833};,Q6UB28
2044,8.0,{ECO:0000269|PubMed:17929833};,Optimum pH is 7.5-8.0. {ECO:0000269|PubMed:17929833};,Q6UB28
2045,4.5,"Active from pH 4 to 7.5. Stable from pH 4 to 11. {ECO:0000269|PubMed:15660220, ECO:0000269|PubMed:8319689};","Optimum pH is 4.5-6.0. Active from pH 4 to 7.5. Stable from pH 4 to 11. {ECO:0000269|PubMed:15660220, ECO:0000269|PubMed:8319689};",Q6UG02
2045,6.0,"Active from pH 4 to 7.5. Stable from pH 4 to 11. {ECO:0000269|PubMed:15660220, ECO:0000269|PubMed:8319689};","Optimum pH is 4.5-6.0. Active from pH 4 to 7.5. Stable from pH 4 to 11. {ECO:0000269|PubMed:15660220, ECO:0000269|PubMed:8319689};",Q6UG02
2049,8.5,{ECO:0000269|PubMed:15788404};,Optimum pH is 8.5-7.5. {ECO:0000269|PubMed:15788404};,Q6UWR7
2049,7.5,{ECO:0000269|PubMed:15788404};,Optimum pH is 8.5-7.5. {ECO:0000269|PubMed:15788404};,Q6UWR7
2051,7.4,"Little activity below pH 6.5. {ECO:0000269|PubMed:12534281, ECO:0000269|PubMed:12662155, ECO:0000269|PubMed:15039077};","Optimum pH is 7.4-8.5. Little activity below pH 6.5. {ECO:0000269|PubMed:12534281, ECO:0000269|PubMed:12662155, ECO:0000269|PubMed:15039077};",Q6V1X1
2051,8.5,"Little activity below pH 6.5. {ECO:0000269|PubMed:12534281, ECO:0000269|PubMed:12662155, ECO:0000269|PubMed:15039077};","Optimum pH is 7.4-8.5. Little activity below pH 6.5. {ECO:0000269|PubMed:12534281, ECO:0000269|PubMed:12662155, ECO:0000269|PubMed:15039077};",Q6V1X1
2052,7.0,with stevioside as substrate (at 40 degrees Celsius). {ECO:0000269|PubMed:27378621};,Optimum pH is 7.0-8.5 with stevioside as substrate (at 40 degrees Celsius). {ECO:0000269|PubMed:27378621};,Q6VAB4
2052,8.5,with stevioside as substrate (at 40 degrees Celsius). {ECO:0000269|PubMed:27378621};,Optimum pH is 7.0-8.5 with stevioside as substrate (at 40 degrees Celsius). {ECO:0000269|PubMed:27378621};,Q6VAB4
2054,6.0,{ECO:0000269|PubMed:14675446};,Optimum pH is 6.0-9.0. {ECO:0000269|PubMed:14675446};,Q6WUC1
2054,9.0,{ECO:0000269|PubMed:14675446};,Optimum pH is 6.0-9.0. {ECO:0000269|PubMed:14675446};,Q6WUC1
2058,7.0,{ECO:0000269|PubMed:14617060};,Optimum pH is 7.0-8.0. {ECO:0000269|PubMed:14617060};,Q6XMI3
2058,8.0,{ECO:0000269|PubMed:14617060};,Optimum pH is 7.0-8.0. {ECO:0000269|PubMed:14617060};,Q6XMI3
2072,6.0,{ECO:0000269|PubMed:7592321};,Optimum pH is 6.0-6.5. {ECO:0000269|PubMed:7592321};,Q71EW5
2072,6.5,{ECO:0000269|PubMed:7592321};,Optimum pH is 6.0-6.5. {ECO:0000269|PubMed:7592321};,Q71EW5
2090,8.0,"{ECO:0000269|PubMed:10795315, ECO:0000269|PubMed:11575729};","Optimum pH is 8.0-9.0. {ECO:0000269|PubMed:10795315, ECO:0000269|PubMed:11575729};",Q76MX2
2090,9.0,"{ECO:0000269|PubMed:10795315, ECO:0000269|PubMed:11575729};","Optimum pH is 8.0-9.0. {ECO:0000269|PubMed:10795315, ECO:0000269|PubMed:11575729};",Q76MX2
2093,11.0,{ECO:0000269|PubMed:11029590};,Optimum pH is 11-12. {ECO:0000269|PubMed:11029590};,Q79F14
2093,12.0,{ECO:0000269|PubMed:11029590};,Optimum pH is 11-12. {ECO:0000269|PubMed:11029590};,Q79F14
2094,6.5,{ECO:0000269|PubMed:17827307};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:17827307};,Q79F77
2094,7.5,{ECO:0000269|PubMed:17827307};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:17827307};,Q79F77
2099,7.0,{ECO:0000269|PubMed:12484781};,Optimum pH is 7.0-9.0. {ECO:0000269|PubMed:12484781};,Q7BJX9
2099,9.0,{ECO:0000269|PubMed:12484781};,Optimum pH is 7.0-9.0. {ECO:0000269|PubMed:12484781};,Q7BJX9
2103,4.5,{ECO:0000269|PubMed:8706734};,Optimum pH is 4.5-6.0. {ECO:0000269|PubMed:8706734};,Q7F3A8
2103,6.0,{ECO:0000269|PubMed:8706734};,Optimum pH is 4.5-6.0. {ECO:0000269|PubMed:8706734};,Q7F3A8
2107,7.6,{ECO:0000269|PubMed:15863841};,Optimum pH is 7.6-7.8. {ECO:0000269|PubMed:15863841};,Q7L5A8
2107,7.8,{ECO:0000269|PubMed:15863841};,Optimum pH is 7.6-7.8. {ECO:0000269|PubMed:15863841};,Q7L5A8
2110,6.0,{ECO:0000269|PubMed:26075520};,Optimum pH is 6-7.5. {ECO:0000269|PubMed:26075520};,Q7Q2T8
2110,7.5,{ECO:0000269|PubMed:26075520};,Optimum pH is 6-7.5. {ECO:0000269|PubMed:26075520};,Q7Q2T8
2116,7.5,{ECO:0000269|PubMed:11910177};,Optimum pH is 7.5-8.0. {ECO:0000269|PubMed:11910177};,Q7T046
2116,8.0,{ECO:0000269|PubMed:11910177};,Optimum pH is 7.5-8.0. {ECO:0000269|PubMed:11910177};,Q7T046
2131,5.0,{ECO:0000269|PubMed:19549785};,Optimum pH is 5.0-5.5. {ECO:0000269|PubMed:19549785};,Q7Z2H8
2131,5.5,{ECO:0000269|PubMed:19549785};,Optimum pH is 5.0-5.5. {ECO:0000269|PubMed:19549785};,Q7Z2H8
2139,5.0,"{ECO:0000269|PubMed:16330764, ECO:0000269|PubMed:16925524};","Optimum pH is 5-7. {ECO:0000269|PubMed:16330764, ECO:0000269|PubMed:16925524};",Q812F3
2139,7.0,"{ECO:0000269|PubMed:16330764, ECO:0000269|PubMed:16925524};","Optimum pH is 5-7. {ECO:0000269|PubMed:16330764, ECO:0000269|PubMed:16925524};",Q812F3
2151,7.0,{ECO:0000269|PubMed:10601844};,Optimum pH is 7.0-8.0. {ECO:0000269|PubMed:10601844};,Q83WC8
2151,8.0,{ECO:0000269|PubMed:10601844};,Optimum pH is 7.0-8.0. {ECO:0000269|PubMed:10601844};,Q83WC8
2157,8.0,;,Optimum pH is 8.0-8.5.;,Q84KI6
2157,8.5,;,Optimum pH is 8.0-8.5.;,Q84KI6
2160,7.0,{ECO:0000269|PubMed:17140613};,Optimum pH is 7.0-8.5. {ECO:0000269|PubMed:17140613};,Q84LB2
2160,8.5,{ECO:0000269|PubMed:17140613};,Optimum pH is 7.0-8.5. {ECO:0000269|PubMed:17140613};,Q84LB2
2166,6.5,for both catalytic activities. {ECO:0000269|PubMed:22002057};,Optimum pH is 6.5-7.0 for both catalytic activities. {ECO:0000269|PubMed:22002057};,Q84VZ1
2166,7.0,for both catalytic activities. {ECO:0000269|PubMed:22002057};,Optimum pH is 6.5-7.0 for both catalytic activities. {ECO:0000269|PubMed:22002057};,Q84VZ1
2174,8.0,Active from pH 5.5 to 9.3. {ECO:0000269|PubMed:28842490};,Optimum pH is 8-9. Active from pH 5.5 to 9.3. {ECO:0000269|PubMed:28842490};,Q86SQ9
2174,9.0,Active from pH 5.5 to 9.3. {ECO:0000269|PubMed:28842490};,Optimum pH is 8-9. Active from pH 5.5 to 9.3. {ECO:0000269|PubMed:28842490};,Q86SQ9
2175,7.5,"Little activity below pH 6.5. {ECO:0000269|PubMed:12662155, ECO:0000269|PubMed:15245913};","Optimum pH is 7.5-8.5. Little activity below pH 6.5. {ECO:0000269|PubMed:12662155, ECO:0000269|PubMed:15245913};",Q86TI2
2175,8.5,"Little activity below pH 6.5. {ECO:0000269|PubMed:12662155, ECO:0000269|PubMed:15245913};","Optimum pH is 7.5-8.5. Little activity below pH 6.5. {ECO:0000269|PubMed:12662155, ECO:0000269|PubMed:15245913};",Q86TI2
2179,5.0,"{ECO:0000269|PubMed:15664516, ECO:0000269|PubMed:18975073};","Optimum pH is 5.0-7.0. {ECO:0000269|PubMed:15664516, ECO:0000269|PubMed:18975073};",Q873X9
2179,7.0,"{ECO:0000269|PubMed:15664516, ECO:0000269|PubMed:18975073};","Optimum pH is 5.0-7.0. {ECO:0000269|PubMed:15664516, ECO:0000269|PubMed:18975073};",Q873X9
2180,8.0,{ECO:0000269|PubMed:16774642};,Optimum pH is 8.0-8.5. {ECO:0000269|PubMed:16774642};,Q874I4
2180,8.5,{ECO:0000269|PubMed:16774642};,Optimum pH is 8.0-8.5. {ECO:0000269|PubMed:16774642};,Q874I4
2182,6.0,"At pH 4 and pH 10, its activity is only 40 and 60%, respectively, of the maximum. {ECO:0000269|PubMed:28351914};","Optimum pH is 6-9. At pH 4 and pH 10, its activity is only 40 and 60%, respectively, of the maximum. {ECO:0000269|PubMed:28351914};",Q88M11
2182,9.0,"At pH 4 and pH 10, its activity is only 40 and 60%, respectively, of the maximum. {ECO:0000269|PubMed:28351914};","Optimum pH is 6-9. At pH 4 and pH 10, its activity is only 40 and 60%, respectively, of the maximum. {ECO:0000269|PubMed:28351914};",Q88M11
2185,4.5,Maintains 80% activity at pH 4.0-7.5. {ECO:0000269|PubMed:16740638};,Optimum pH is 4.5-6.0. Maintains 80% activity at pH 4.0-7.5. {ECO:0000269|PubMed:16740638};,Q89ZI8
2185,6.0,Maintains 80% activity at pH 4.0-7.5. {ECO:0000269|PubMed:16740638};,Optimum pH is 4.5-6.0. Maintains 80% activity at pH 4.0-7.5. {ECO:0000269|PubMed:16740638};,Q89ZI8
2188,7.5,{ECO:0000269|PubMed:16185194};,Optimum pH is 7.5-8.5. {ECO:0000269|PubMed:16185194};,Q8BG16
2188,8.5,{ECO:0000269|PubMed:16185194};,Optimum pH is 7.5-8.5. {ECO:0000269|PubMed:16185194};,Q8BG16
2190,5.5,{ECO:0000269|PubMed:18775698};,Optimum pH is 5.5-6. {ECO:0000269|PubMed:18775698};,Q8BGW1
2190,6.0,{ECO:0000269|PubMed:18775698};,Optimum pH is 5.5-6. {ECO:0000269|PubMed:18775698};,Q8BGW1
2194,4.4,{ECO:0000269|PubMed:22393058};,Optimum pH is 4.4-6.5. {ECO:0000269|PubMed:22393058};,Q8BZL1
2194,6.5,{ECO:0000269|PubMed:22393058};,Optimum pH is 4.4-6.5. {ECO:0000269|PubMed:22393058};,Q8BZL1
2195,6.0,{ECO:0000269|PubMed:12831846};,Optimum pH is 6.0-8.0. {ECO:0000269|PubMed:12831846};,Q8CFX1
2195,8.0,{ECO:0000269|PubMed:12831846};,Optimum pH is 6.0-8.0. {ECO:0000269|PubMed:12831846};,Q8CFX1
2196,7.0,{ECO:0000269|PubMed:12626393};,Optimum pH is 7-8.5. {ECO:0000269|PubMed:12626393};,Q8CH87
2196,8.5,{ECO:0000269|PubMed:12626393};,Optimum pH is 7-8.5. {ECO:0000269|PubMed:12626393};,Q8CH87
2197,7.5,{ECO:0000269|PubMed:10468558};,Optimum pH is 7.5-8. {ECO:0000269|PubMed:10468558};,Q8CHM7
2197,8.0,{ECO:0000269|PubMed:10468558};,Optimum pH is 7.5-8. {ECO:0000269|PubMed:10468558};,Q8CHM7
2205,6.0,{ECO:0000269|PubMed:11306561};,Optimum pH is 6.0-6.5. {ECO:0000269|PubMed:11306561};,Q8G9F9
2205,6.5,{ECO:0000269|PubMed:11306561};,Optimum pH is 6.0-6.5. {ECO:0000269|PubMed:11306561};,Q8G9F9
2210,6.5,{ECO:0000269|PubMed:15256568};,Optimum pH is 6.5-7.0. {ECO:0000269|PubMed:15256568};,Q8GJ44
2210,7.0,{ECO:0000269|PubMed:15256568};,Optimum pH is 6.5-7.0. {ECO:0000269|PubMed:15256568};,Q8GJ44
2214,3.0,{ECO:0000269|PubMed:12368495};,Optimum pH is 3-4. {ECO:0000269|PubMed:12368495};,Q8GSG4
2214,4.0,{ECO:0000269|PubMed:12368495};,Optimum pH is 3-4. {ECO:0000269|PubMed:12368495};,Q8GSG4
2215,5.5,"{ECO:0000269|PubMed:15190053, ECO:0000269|Ref.4};","Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:15190053, ECO:0000269|Ref.4};",Q8GTB6
2215,6.0,"{ECO:0000269|PubMed:15190053, ECO:0000269|Ref.4};","Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:15190053, ECO:0000269|Ref.4};",Q8GTB6
2219,5.0,{ECO:0000269|PubMed:24156403};,Optimum pH is 5-9. {ECO:0000269|PubMed:24156403};,Q8GWW6
2219,9.0,{ECO:0000269|PubMed:24156403};,Optimum pH is 5-9. {ECO:0000269|PubMed:24156403};,Q8GWW6
2224,6.5,{ECO:0000269|PubMed:21642549};,Optimum pH is 6.5-8.0. {ECO:0000269|PubMed:21642549};,Q8H151
2224,8.0,{ECO:0000269|PubMed:21642549};,Optimum pH is 6.5-8.0. {ECO:0000269|PubMed:21642549};,Q8H151
2225,7.5,{ECO:0000269|PubMed:18703589};,Optimum pH is 7.5-8.5. {ECO:0000269|PubMed:18703589};,Q8H191
2225,8.5,{ECO:0000269|PubMed:18703589};,Optimum pH is 7.5-8.5. {ECO:0000269|PubMed:18703589};,Q8H191
2226,5.5,{ECO:0000269|PubMed:20057139};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:20057139};,Q8H8T0
2226,6.0,{ECO:0000269|PubMed:20057139};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:20057139};,Q8H8T0
2227,5.5,{ECO:0000269|PubMed:15256551};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:15256551};,Q8HA43
2227,6.0,{ECO:0000269|PubMed:15256551};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:15256551};,Q8HA43
2231,5.0,{ECO:0000269|PubMed:20070315};,Optimum pH is 5-7. {ECO:0000269|PubMed:20070315};,Q8I2X3
2231,7.0,{ECO:0000269|PubMed:20070315};,Optimum pH is 5-7. {ECO:0000269|PubMed:20070315};,Q8I2X3
2232,8.5,{ECO:0000269|PubMed:15843155};,Optimum pH is 8.5-9. {ECO:0000269|PubMed:15843155};,Q8I384
2232,9.0,{ECO:0000269|PubMed:15843155};,Optimum pH is 8.5-9. {ECO:0000269|PubMed:15843155};,Q8I384
2233,7.0,{ECO:0000269|PubMed:18477629};,Optimum pH is 7-9. {ECO:0000269|PubMed:18477629};,Q8I4S1
2233,9.0,{ECO:0000269|PubMed:18477629};,Optimum pH is 7-9. {ECO:0000269|PubMed:18477629};,Q8I4S1
2238,7.5,(at 20 degrees Celsius). {ECO:0000269|PubMed:19666141};,Optimum pH is 7.5-8 (at 20 degrees Celsius). {ECO:0000269|PubMed:19666141};,Q8IBS5
2238,8.0,(at 20 degrees Celsius). {ECO:0000269|PubMed:19666141};,Optimum pH is 7.5-8 (at 20 degrees Celsius). {ECO:0000269|PubMed:19666141};,Q8IBS5
2239,6.0,{ECO:0000269|PubMed:20833209};,Optimum pH is 6-6.5. {ECO:0000269|PubMed:20833209};,Q8IIJ9
2239,6.5,{ECO:0000269|PubMed:20833209};,Optimum pH is 6-6.5. {ECO:0000269|PubMed:20833209};,Q8IIJ9
2244,4.5,{ECO:0000269|PubMed:18437218};,Optimum pH is 4.5-5.2. {ECO:0000269|PubMed:18437218};,Q8IL04
2244,5.2,{ECO:0000269|PubMed:18437218};,Optimum pH is 4.5-5.2. {ECO:0000269|PubMed:18437218};,Q8IL04
2248,4.0,at 40 degrees Celsius for chitinase activity. {ECO:0000269|PubMed:9914527};,Optimum pH is 4-5 at 40 degrees Celsius for chitinase activity. {ECO:0000269|PubMed:9914527};,Q8IU26
2248,5.0,at 40 degrees Celsius for chitinase activity. {ECO:0000269|PubMed:9914527};,Optimum pH is 4-5 at 40 degrees Celsius for chitinase activity. {ECO:0000269|PubMed:9914527};,Q8IU26
2250,7.0,for arylsulfatase activity. {ECO:0000269|PubMed:12368295};,Optimum pH is 7.0-8.0. for arylsulfatase activity. {ECO:0000269|PubMed:12368295};,Q8IWU5
2250,8.0,for arylsulfatase activity. {ECO:0000269|PubMed:12368295};,Optimum pH is 7.0-8.0. for arylsulfatase activity. {ECO:0000269|PubMed:12368295};,Q8IWU5
2251,7.0,{ECO:0000269|PubMed:12368295};,Optimum pH is 7.0-8.0. {ECO:0000269|PubMed:12368295};,Q8IWU6
2251,8.0,{ECO:0000269|PubMed:12368295};,Optimum pH is 7.0-8.0. {ECO:0000269|PubMed:12368295};,Q8IWU6
2253,7.0,{ECO:0000269|PubMed:16464866};,Optimum pH is 7-8. {ECO:0000269|PubMed:16464866};,Q8IY26
2253,8.0,{ECO:0000269|PubMed:16464866};,Optimum pH is 7-8. {ECO:0000269|PubMed:16464866};,Q8IY26
2257,3.7,"for birchwood xylan. {ECO:0000269|PubMed:15450181, ECO:0000269|Ref.3};","Optimum pH is 3.7-4.7 for birchwood xylan. {ECO:0000269|PubMed:15450181, ECO:0000269|Ref.3};",Q8J0K5
2257,4.7,"for birchwood xylan. {ECO:0000269|PubMed:15450181, ECO:0000269|Ref.3};","Optimum pH is 3.7-4.7 for birchwood xylan. {ECO:0000269|PubMed:15450181, ECO:0000269|Ref.3};",Q8J0K5
2259,7.5,Active from pH 6 to 10. Stable from pH 5 to 11. {ECO:0000269|PubMed:14730138};,Optimum pH is 7.5-8.0. Active from pH 6 to 10. Stable from pH 5 to 11. {ECO:0000269|PubMed:14730138};,Q8J2V8
2259,8.0,Active from pH 6 to 10. Stable from pH 5 to 11. {ECO:0000269|PubMed:14730138};,Optimum pH is 7.5-8.0. Active from pH 6 to 10. Stable from pH 5 to 11. {ECO:0000269|PubMed:14730138};,Q8J2V8
2262,7.5,{ECO:0000269|PubMed:18276586};,Optimum pH is 7.5-9.5. {ECO:0000269|PubMed:18276586};,Q8JZL3
2262,9.5,{ECO:0000269|PubMed:18276586};,Optimum pH is 7.5-9.5. {ECO:0000269|PubMed:18276586};,Q8JZL3
2263,7.8,{ECO:0000269|PubMed:28755312};,Optimum pH is 7.8-8.2. {ECO:0000269|PubMed:28755312};,Q8JZU0
2263,8.2,{ECO:0000269|PubMed:28755312};,Optimum pH is 7.8-8.2. {ECO:0000269|PubMed:28755312};,Q8JZU0
2264,8.0,Active from pH 6 to 8.5. {ECO:0000269|PubMed:16641166};,Optimum pH is 8.0-8.5. Active from pH 6 to 8.5. {ECO:0000269|PubMed:16641166};,Q8K0H1
2264,8.5,Active from pH 6 to 8.5. {ECO:0000269|PubMed:16641166};,Optimum pH is 8.0-8.5. Active from pH 6 to 8.5. {ECO:0000269|PubMed:16641166};,Q8K0H1
2265,5.5,{ECO:0000269|PubMed:15122917};,Optimum pH is 5.5-8.0. {ECO:0000269|PubMed:15122917};,Q8K0L2
2265,8.0,{ECO:0000269|PubMed:15122917};,Optimum pH is 5.5-8.0. {ECO:0000269|PubMed:15122917};,Q8K0L2
2268,6.0,{ECO:0000269|PubMed:18641134};,Optimum pH is 6.0-6.5. {ECO:0000269|PubMed:18641134};,Q8KDM7
2268,6.5,{ECO:0000269|PubMed:18641134};,Optimum pH is 6.0-6.5. {ECO:0000269|PubMed:18641134};,Q8KDM7
