prot_index,uniprot_id,ph_dependence,note
31,A0A0S4FKT4,Activity is stable from pH 3.5 and 10.5. {ECO:0000269|PubMed:26227411};,
1370,P77933,"DNA polymerase optimum pH is 6.5, very thermostable, has a half-life of 12 hours at 95 and 3 hours at 100 degrees Celsius, for protein cloned without inteins in E.coli. {ECO:0000269|PubMed:9361436};",
1379,P80035,"Optimum pH is 6 for short chain and medium-chain triacylglycerol and 4 for long-chain triacylglycerol (PubMed:1935982). Inactivated when pH is below 1.5 (PubMed:1568562). {ECO:0000269|PubMed:1568562, ECO:0000269|PubMed:1935982};",
1412,P84516,"Optimum pH is 3.8 with 2.2'-azino-bis(3-ethylbenzthiazoline-6-sulfonic acid) as substrate, 5.5 with ferulic acid as substrate, and 6.5 with N-acetyl-L-tyrosine as substrate.;",
1416,P85136,Optimim pH is 4.3. Active from pH 3 to 6.5. {ECO:0000269|PubMed:19488781};,
1417,P85137,Optimim pH is 4.3. Active from pH 3 to 6.5. {ECO:0000269|PubMed:19488781};,
1418,P85138,Optimim pH is 4.3. Active from pH 3 to 7.5. {ECO:0000269|PubMed:19488781};,
1435,P91938,"Optimum pH is 7.6 for isoform A with Trx-2 and NADPH as substrates. {ECO:0000269|PubMed:11158675, ECO:0000269|PubMed:11782468, ECO:0000269|PubMed:11796729, ECO:0000269|PubMed:11877442, ECO:0000269|PubMed:17385893, ECO:0000269|PubMed:18211101, ECO:0000269|PubMed:18991392};",
1443,P93762,"Optimum pH is 6 (PubMed:9108257, PubMed:11427234). A second pH optimum was found at pH 10 (PubMed:9108257, PubMed:11427234). {ECO:0000269|PubMed:11427234, ECO:0000269|PubMed:9108257};",
1444,P94248,"Optimum pH is 5.5 with pNP-beta-D-glucoside as a substrate. Retains more than 90% of its activity between pH 5.0 and 7.0. Retains 70% of its activity at pH 4.5 and 8.5. {ECO:0000269|PubMed:8988633, ECO:0000269|PubMed:9063964};",
1450,P95619,"Optimum pH is 8. No activity is detected at pH 4.0-5.0. At higher pH values, it shows rapid decrease in activity, although 50% of the relative activity is still detected at pH 9.0. It retains much residual activity after 30 minutes incubation at pH 4.0-8.0, indicating that CrtC is stable in both slightly alkaline and acid environments. {ECO:0000269|PubMed:12745254, ECO:0000269|PubMed:21590288};",
1467,P98066,Optimally active at pH 6.5-8. {ECO:0000269|PubMed:26468290};,
1468,P9WEW3,Active at neutral to pH 8 with casein as substrate. {ECO:0000269|PubMed:11893850};,
1473,P9WFX1,"At pH below 7.5, MtbI produces isochorismate and at pH 8 it produces salicylate. {ECO:0000269|PubMed:17240979};",
1487,P9WHV7,"Optimum pH is 6.5 in sodium-acetate at 50 degrees Celsius for poly(P)-dependent kinase activity and optimum pH is 8 in Tris-HCl at 50 degrees Celsius for ATP-dependent kinase activity. {ECO:0000269|PubMed:11006082, ECO:0000269|PubMed:15182203};",
1506,P9WKE3,"Optimum pH is close to 8 (PubMed:21085589). Activities at pH 7 and pH 9.5 are 57% and 70% of the maximal activity, respectively (PubMed:21085589, PubMed:21045009). {ECO:0000269|PubMed:21045009, ECO:0000269|PubMed:21085589};",
1509,P9WKI9,"Optimum pH is 8.5. Exhibits a dramatic drop in activity at low pH, with less than 50% activity remaining at pH 7. In contrast, the activity is extremely stable at alkaline pH, with more than 50% activity remaining at pH 12. {ECO:0000269|PubMed:11914086};",
1510,P9WKJ1,"Optimum pH is 8.5-9.5 for PAP phosphatase activity, 9.3 for IMPase activity, and about 10 for FBPase activity. IMPase activity shows a dramatic decrease at low pH. In contrast, IMPase activity is highly stable at alkaline pH, with more than 60% activity remaining at pH 12. {ECO:0000269|PubMed:16325768, ECO:0000269|PubMed:18454554};",
1513,P9WKQ1,Is most active at neutral pH. {ECO:0000269|PubMed:26036301};,
1530,P9WNW5,Is more active at pH 8.0 rather than at pH 7.0 or pH 6.0. {ECO:0000269|PubMed:22529992};,
1536,P9WPJ9,Active at pH 8.4 and inactive at pH 7.5. {ECO:0000269|PubMed:16321983};,
1575,Q04609,Stable at pH greater than 6.5.;,
1580,Q05521,"Optimum pH is 6.0-8.5 (PubMed:8940025). Optimum pH for geranylgeranyl-P-P phosphatase reaction is 5.0-5.5 (PubMed:10329682). {ECO:0000269|PubMed:10329682, ECO:0000269|PubMed:8940025};",
1601,Q07551,Stable from pH 6 to 9.5. {ECO:0000269|PubMed:15564669};,
1605,Q07794,Optimum pH is >8.5. {ECO:0000269|PubMed:20560668};,
1626,Q0IG34,"Optimum pH is 9 with 3-hydroxykynurenine and pyruvate, or L-alanine and glyoxylate as substrates (at 50 degrees Celsius). {ECO:0000269|PubMed:11880382, ECO:0000269|PubMed:12220660};",
1634,Q0QLF1,Most stable at pH 8.0. Unstable at acidic pH values. {ECO:0000269|PubMed:8555176};,
1635,Q0QLF2,Most stable at pH 8.0. Unstable at acidic pH values. {ECO:0000269|PubMed:8555176};,
1636,Q0QLF3,Most stable at pH 8.0. Unstable at acidic pH values. {ECO:0000269|PubMed:8555176};,
1662,Q13822,"Optimum pH is 9.0 (isoform 1), 8.0 (isoform 3). Isoform 1 is less sensitive to pH. Isoform 1, isoform 2 and isoform 3 all retain some activity at pH 9.5. {ECO:0000269|PubMed:12176993, ECO:0000269|PubMed:18175805};",
1670,Q16719,"Optimum pH is 8.25 with DL-3-hydroxykynurenine as substrate. {ECO:0000269|PubMed:11985583, ECO:0000269|PubMed:17300176, ECO:0000269|PubMed:8706755, ECO:0000269|PubMed:9180257};",
1672,Q16836,Optimum at neutral pH. {ECO:0000269|PubMed:10231530};,
1690,Q1XG90,Retains more than 90% of its maximum activity between pH 5.4 and 6.4 in the ionic strength range of I=0.005-0.01. In buffers of I=0.005 more than 75% of maximum activity is retained between pH 5.3 and 7.5. In buffers of I=0.02 more than 75% of maximum activity is retained between pH 5.3 and 6.5. {ECO:0000269|PubMed:17160350};,
1704,Q29550,"Optimum pH is 8.0 with tributylglycerol as substrate, and 8.2 with retinyl palmitate as substrate. Active from pH 4.5-9.5 with retinyl palmitate as substrate. {ECO:0000269|PubMed:16223870, ECO:0000269|PubMed:9490062, ECO:0000269|PubMed:9799112};",
1737,Q38967,Optimum pH is acidic. {ECO:0000269|PubMed:8281191};,
1768,Q42400,"Optimum pH is acidic. {ECO:0000269|PubMed:12244056, ECO:0000269|PubMed:8327465, ECO:0000269|PubMed:8356039};",
1791,Q47910,"Optimum pH is 8.0 for ATP hydrolysis activity. Loses 50% of the activity at pH 7.0 or 8.5, has less than 20% activity at pH 6.5 and virtually no activity at pH 9.0. {ECO:0000269|PubMed:8632017};",
1792,Q47914,"Optimum pH is 7. It maintains more than 70% of its optimal activity even at pH 5.0. PcpD loses its activity quickly in basic solutions, retaining less than 20% of its optimal activity at pH 8.0. {ECO:0000269|PubMed:19325743};",
1798,Q48935,"Optimum pH is 9 with acetylputrescine, N(1)-acetylspermidine, and N(8)-acetylspermidine as substrates, and is 8 with acetylcadaverine as substrate. {ECO:0000269|PubMed:3207420};",
1806,Q4J6M3,"Optimum pH is 6.7. At pH 6.7, glyceraldehyde is the predominant substrate, however at pH 7.5 the dehydrogenase exhibits activity preferentially towards the aliphatic aldehydes such as formaldehyde, acetaldehyde and propionaldehyde. {ECO:0000269|PubMed:10095793};",
1826,Q50497,Optimum pH is near 7.5. {ECO:0000269|PubMed:15340796};,
1828,Q50EK6,Optimum pH is7.5-7.6. {ECO:0000269|PubMed:15911762};,
1836,Q51782,Optimum pH is approximately 7.8. {ECO:0000269|PubMed:8529644};,
1837,Q52060,Activity increases gradually over the pH range 6.5-8.5. {ECO:0000269|PubMed:8419288};,
1845,Q54530,Optimum pH is near 7.4. {ECO:0000269|PubMed:10082933};,
1857,Q56575,"Optimum pH is 8.25. Stable at pH 7.5 and 4 degrees Celsius in the presence of DTT, EDTA and NaN(3) for at least one month. 57% and 72% of the maximum activity observed at pH 7.5 and 9.0, respectively. {ECO:0000269|Ref.2};",
1859,Q56F26,"Optimum pH is 5.5 with chitotriitol as substrate, and 5.3 with (GlcN)2 as substrate. Activity is lost below pH 3.5 and above pH 8.0. {ECO:0000269|PubMed:16316314, ECO:0000269|PubMed:2351651};",
1892,Q59226,"Optimum pH for hydrolysis of beta-cyclodextrin is approximately 7.5 (PubMed:9606956, PubMed:16536613). Optimum pH for hydrolysis of soluble starch is 6.0 and 6.0-7.0 for hydrolysis of pullulan (PubMed:9606956). {ECO:0000269|PubMed:16536613, ECO:0000269|PubMed:9606956};",
1893,Q59268,"Activity decreases rapidly below pH 7.5 in phosphate buffer, and below pH 8.0 in Tris buffer. {ECO:0000269|PubMed:5574401};",
1895,Q59971,"Optimum pH is 7.5. This optimal pH, slightly higher than normal physiological conditions, may be necessary to ensure that the proper ionic nature of the zwitterionic anthracycline substrates is maintained for optimal recognition. {ECO:0000269|PubMed:9864343};",
1931,Q5JIZ5,High activity at a wide pH range between 7.0-11.5 at 20 degrees Celsius and pH 7.5. It is not fully stable at pH 6 or under and at pH 12 or over. It loses over 85% of its activity at pH 3 or under and at pH 13. {ECO:0000269|PubMed:20100702};,
1938,Q5LA59,"Optimum pH is pH 8.5 (NAD reduction, bile acid oxidation) and 6.5 (NADH oxidation, bile acid reduction). {ECO:0000269|PubMed:14756531};",
1951,Q5SHZ8,"Optimum pH is 6.0. Stable at pH 4.5-5.0, and a loss of less than 10% of the initial activity is observed after 1 hour of incubation at these pH. {ECO:0000269|PubMed:18071260};",
1960,Q5W9R9,"Optimum pH is 6-9 for the oxygenation reaction and 10.5 for the oxidation reaction. {ECO:0000269|PubMed:3818566, ECO:0000269|PubMed:6501250, ECO:0000269|PubMed:6885723};",
1963,Q5XPT3,"Optimum pH is from 5.5 to 9.0 for xylosyltransferase activity. Optimum pH is 5.5 for Beta-1,3-glucuronyltransferase activity. {ECO:0000269|PubMed:23125099};",
1976,Q62867,Optimum pH is from 5 to 7. {ECO:0000269|PubMed:8343522};,
1978,Q63089,"Optimum pH is 6.0 for the transport of the drug quinidine. No transport activity is observed at pH 7.5, possibly due to the protonation of quininide at pH6.0 (PubMed:11408531). TEA transport is independent of any pH (PubMed:8955087). {ECO:0000269|PubMed:11408531, ECO:0000269|PubMed:8955087};",
1985,Q65CX4,"Optimum pH is 6.5 for both lactose and ONPG hydrolysis. Stable at pH 5-8 and most stable at 6.5, retaining more than 90% and 80% of its activity when incubated at pH 6.5 and 37 degrees Celsius for 5 days and 1 month, respectively. {ECO:0000269|PubMed:20852995};",
1998,Q69422,Stable from 6 to 8.5. {ECO:0000269|PubMed:10497107};,
2018,Q6L047,"Optimum pH is 6.5 for the oxidation of D-glucose by NADP(+). At the physiological pH of 4.6 found in the cytoplasm of Picrophilus cells, the enzyme shows merely 10% of its maximal activity. {ECO:0000269|PubMed:15691337};",
2053,Q6WRT6,Optimum pH i 9.3. {ECO:0000269|PubMed:15322098};,
2068,Q70KY3,"Optimum pH is 3.5 with 2,2'-azinobis-(3-ethylbenzthiazoline-6-sulphonate) as substrate, 5.0-7.5 with guiacol as substrate, and 6.0-7.0 with syringaldazine as substrate. {ECO:0000269|PubMed:12111146, ECO:0000269|PubMed:12118243};",
2070,Q70XJ9,Optimum pH is 5.4. Displays 50% of the optimal activity between pH values 4.0 and 6.2. A pH above 7 leads to a complete inhibition of the enzyme. {ECO:0000269|PubMed:15735966};,
2078,Q75N35,Full hemagglutinating activity after 3 hours of incubation at pH 3-9 at room temperature. {ECO:0000269|PubMed:15047697};,
2096,Q79V61,Stable from pH 4.0 to 10. {ECO:0000269|PubMed:16227211};,
2143,Q81RQ4,Optimum pH is >9.5. {ECO:0000269|PubMed:18955706};,
2148,Q837U7,"Optimum pH is 6.7 with 10 mM putrescine and 10 mM carbamoyl phosphate, 7.8 with 0.2 mM putrescine and 0.2 mM carbamoyl phosphate, and 9.0 with 0.5 mM putrescine and 10 mM carbamoyl phosphate. {ECO:0000269|PubMed:116850};",
2164,Q84MD8,"Optimum pH is acidic (5.5-6.0) for FMN phosphatase activity and basic for riboflavin kinase activity. {ECO:0000269|PubMed:16183635, ECO:0000305|PubMed:22002057};",
2168,Q84WV9,Optimum pH is mildly basic for conversion of the glutaminyl substrates and shifted to acidic for cyclization of glutamic acid. {ECO:0000269|PubMed:17261077};,
2170,Q868M7,"Optimum pH for hemolytic activity is 10. Hemolytic activity increases with increasing pH from pH 7 to pH 10, but almost no hemolytic activity is observed below pH 6.5 (PubMed:7876091, PubMed:8663224). Binds to lactose between pH 4-10 (PubMed:9058193, PubMed:9805377). Pore formation in artificial liposomes containing human erythrocyte membrane lipids lactosyl ceramide (LacCer) or globotetraosylceramide (Gb4Cer) increases with increasing pH (PubMed:10478454). Cytotoxic effect on Madin-Darby canine kidney (MDCK) cell line increases with increasing pH with maximal cytotoxicity at pH 10 at 4 degrees Celsius, but no significant pH effect is observed at 37 degrees Celsius (PubMed:9133626, PubMed:10101284). {ECO:0000269|PubMed:10101284, ECO:0000269|PubMed:10478454, ECO:0000269|PubMed:7876091, ECO:0000269|PubMed:8663224, ECO:0000269|PubMed:9058193, ECO:0000269|PubMed:9133626, ECO:0000269|PubMed:9805377};",
2187,Q8BG07,Optimum pH is pH 5.5-5. {ECO:0000269|PubMed:30111894};,
2200,Q8CWX6,"Optimum pH is between 6-8. Outside of this pH range, the enzyme activity decreases rapidly. At pH 4.6, the enzyme is only 7% as active as it is at pH 7.5. {ECO:0000269|PubMed:21840320};",
2222,Q8GZD5,Optimum pH is approximately 5.5. Loses activity rapidly at pH 4-5. {ECO:0000269|PubMed:15804235};,
2258,Q8J2T0,"Optimum pH is around 5 (PubMed:15494009, PubMed:17302431, PubMed:12723619). More stable at alkaline than acidic pH (PubMed:15494009, PubMed:12723619, PubMed:17509134). {ECO:0000269|PubMed:12723619, ECO:0000269|PubMed:15494009, ECO:0000269|PubMed:17302431, ECO:0000269|PubMed:17509134};",
2269,Q8KES3,"Optimum pH is around 8.8. Activity drops sharply above and below the optimum and is absent at pH 3 and virtually so at pH 10.6. {ECO:0000269|PubMed:10333495, ECO:0000269|PubMed:18542834};",
2273,Q8KY50,Active over the wide range of pH from 3 to 9. {ECO:0000269|PubMed:15720398};,
2284,Q8L7K9,"Optimum pH is 6.6 for homodimer and 6.5 for NAD-MEH heterodimer. In the presence of coenzyme A (CoA), optimum pH is 6.8 for both homodimer and NAD-MEH heterodimer. {ECO:0000269|PubMed:18223148, ECO:0000269|PubMed:20133948, ECO:0000269|PubMed:20528775};",
2315,Q8NK92,"Optimum pH is 4.0. Inactive below pH 3.0 and above pH 6.5. The half-life (t1/2) values for activity loss at 30 degrees Celsius are 150 min at pH 6.6, 5.5 min at pH 6.8 and 14 min at pH 2.4. {ECO:0000269|PubMed:12519073};",
2335,Q8RS40,"Optimum pH is 7.0-7.5. Stable from pH 5.0-11.0. Retains 65% and 70% of activity respectively when incubated at pH 4.0 and 12.0 for 24 hours. {ECO:0000269|PubMed:11948152, ECO:0000269|PubMed:12501421};",
2375,Q8VZ80,"Optimum extracellular pH is 4.5 for sorbitol as substrate. {ECO:0000269|PubMed:15525644, ECO:0000269|PubMed:15598803};",
2403,Q91XA9,Optimum pH is below 2.5. {ECO:0000269|PubMed:18294964};,
2405,Q91XE4,"Optimum pH is 7.5 with S-benzyl-N-acetyl-L-cysteine as substrate, 7.6 with N-acetyl-L-histidine as substrate, 7.6 with N-acetyl-L-tyrosine as substrate, and 7.7 with N-acetyl-L-phenylalanine as substrate. {ECO:0000269|PubMed:14656720};",
2415,Q93009,Active from pH 7.0 to 9.5. {ECO:0000269|PubMed:14506283};,
2417,Q939D2,"Optimum pH is 4.5 for the peroxidase reaction, 6.0 for the catalase reaction, and 8.75 for the NADH oxidase reaction. {ECO:0000269|PubMed:16211084, ECO:0000269|PubMed:18178143};",
2424,Q93NH4,Fairly stable between pH 6 and 9. {ECO:0000269|PubMed:5646150};,
2439,Q94252,Optimum pH is acidic. {ECO:0000305|PubMed:25554789};,
2475,Q96DE0,Gradually increased from pH 6.5 to 8.5 in its IDP hydrolyzing activity. {ECO:0000269|PubMed:20385596};,
2491,Q97R83,Optimum pH is below 6.5 at low ATP concentrations and is 7.4-7.8 at high ATP concentrations. {ECO:0000269|PubMed:15324307};,
2498,Q97YM2,"Optimum pH is 8.2 (PubMed:16849334, PubMed:17610898). Is more than 50% active in a relatively narrow pH range from 7.3 to 9.3 (PubMed:17610898). {ECO:0000269|PubMed:16849334, ECO:0000269|PubMed:17610898};",
2524,Q9AQI0,"Optimum pH varies depending on the substrate used and phosphate concentration. In the absence of inorganic phosphate pH optima are 6.6 for L-4-carboxy-4-hydroxy-2-oxoadipate, 8.0 for D-4-carboxy-4-hydroxy-2-oxoadipate, 6.7 and 8.0 for DL-4-carboxy-4-hydroxy-2-oxoadipate, 8.3 for DL-4-hydroxy-4-methyl-2-oxoglutarate, 9.3 for DL-4-hydroxy-2-oxoglutarate and 8.8 for oxaloacetate. In the presence of 3 mM inorganic phosphate pH optima are more alkaline: 8.2 for L-4-carboxy-4-hydroxy-2-oxoadipate, 8.6 for D-4-carboxy-4-hydroxy-2-oxoadipate, 8.2 for DL-4-carboxy-4-hydroxy-2-oxoadipate, 8.9 for DL-4-hydroxy-4-methyl-2-oxoglutarate, 9.4 for DL-4-hydroxy-2-oxoglutarate and 8.9 for oxaloacetate. Stable at pH 6.0 to pH 9.5. {ECO:0000269|PubMed:11826967, ECO:0000269|PubMed:2229032, ECO:0000269|PubMed:2229033};",
2527,Q9ATH2,Stable at low pH. Refolds at pH 2.5 after thermal denaturation. Thermal denaturation is irreversible at pH 7.5. {ECO:0000269|PubMed:26417906};,
2544,Q9BZD2,"Optimum pH is 5.5 for adenosine transport (PubMed:15701636, PubMed:19164483, PubMed:28729424). No adenosine transport at pH 7.4 (PubMed:28729424). {ECO:0000269|PubMed:15701636, ECO:0000269|PubMed:19164483, ECO:0000269|PubMed:28729424};",
2550,Q9C168,Active from pH 4 to 12. {ECO:0000269|PubMed:11728803};,
2555,Q9C5U0,"Optimum pH to bind cytokinin is about 7-8.5 at 0 degrees Celsius. {ECO:0000269|PubMed:16246292, ECO:0000269|PubMed:17075078};",
2556,Q9C5U1,Optimum pH to bind cytokinin is about 8.5 at 0 degrees Celsius. {ECO:0000269|PubMed:17075078};,
2605,Q9FRX6,"Optimum pH is 5.4 for the reaction with tetrahydroxychalcone and 5.0 - 7.0 for the reaction with pentahydroxychalcone. {ECO:0000269|PubMed:11073455, ECO:0000269|PubMed:11418122};",
2621,Q9GZV3,"Optimum pH is 9.5 for choline uptake. Transport efficiency decreased at more acidic pHs and is abolished at pH 5.5, which should coincide with transporter internalization. {ECO:0000269|PubMed:17005849};",
2640,Q9HJT3,Optimum pH is 6.6. Significant activity is observed over the pH range of 6.4 to 7.8. Enzymatic activity decreases markedly at pH 8.0 and at pH 6.2 and below. {ECO:0000269|PubMed:23161756};,
2644,Q9HTR2,"Optimum pH is dependent on the substrate: optimum pH is 5-8 with phosphorylcholine, 6 with phosphorylethanolamine and 5 with pNPP. {ECO:0000269|PubMed:10387109};",
2646,Q9HUU1,There is nearly no change in activity from pH 5 to 10. {ECO:0000269|PubMed:18081320};,
2676,Q9KJX5,"Optimum pH is 8.5 with 4-nitrophenyl phosphate as substrate. Has 50% residual activity at pH 7.5 and 30% at pH 9.0, being virtually inactive at pH 10 and at pH 5 or lower. {ECO:0000269|PubMed:11577161};",
2678,Q9KK62,Optimum pH is 6. Highly active in the pH range 5-7. Is stable at pH values from 4 to 8. At pH values above 8 and below 4 the enzyme is rapidly inactivated. {ECO:0000269|PubMed:10831430};,
2688,Q9L8R8,"Optimum pH is 8.0 with 3-oxo-C8-HSL as substrate. Activity increases with increase in pH from 6.0 to 8.0, and declines slightly at pH 9.0. Little or no activity at pH 5.0 or below. {ECO:0000269|PubMed:14734559};",
2689,Q9L9C1,"Optimum pH is between 8 and 8.5, with a dramatic drop of activity (55%) at pH 9. Less than 10% activity is observed a pH 6, and half the maximal activity is measured at pH 7. {ECO:0000269|PubMed:10629172, ECO:0000269|PubMed:12189419};",
2693,Q9LCU3,"Optimum pH is 8.0 in MOPS buffer at 30 degrees Celsius, 7.5 in 0.1 M potassium phosphate buffer at 30 degrees Celsius, and 7.4 in 20 mM potassium phosphate/2 mM DTT buffer at 30 degrees Celsius. Retains full activity in MOPS buffer between pH 6.5 and 10.0. Is irreversibly damaged below pH 6.5 in MOPS buffer, enzyme treated at pH 6.0 in MOPS buffer only regains 40% of its original activity after re-equilibration at pH 7.2. When treated at pH 5.2 or 10.1 in 20 mM potassium phosphate/2 mM DTT buffer activity is lost completely, but is recovered within 17 minutes following readjustment to pH 7.4. {ECO:0000269|PubMed:15068371, ECO:0000269|PubMed:17431803, ECO:0000269|PubMed:7918379};",
2701,Q9LJL3,Active from pH 4 to 10. {ECO:0000269|PubMed:14617063};,
2717,Q9LXC9,"Optimum pH is 7.5. Activity is extremely low below pH 6.5. Activity decreases slightly at more basic pHs, activity at pH 9.0 was only 10% less than that found at pH 7.5. {ECO:0000269|PubMed:15135060};",
2726,Q9LZA6,Broad optimum pH around 8.0. {ECO:0000269|PubMed:16473965};,
2750,Q9NP94,Transport activity is maximal at acidic pH (<6.0) and almost negligible at pH >7.5. {ECO:0000269|PubMed:29791142};,
2772,Q9PT51,Optimum pH is from 5.5 to 8.5. {ECO:0000269|PubMed:10403823};,
2789,Q9RHG4,"Displays hemagglutinating activity from pH 5 to 8, but is inactive beyond these pHs. {ECO:0000269|PubMed:10600484};",
2794,Q9S2A5,"Optimum pH is 8.5. Shows high stability over a broad range of pH 4-9.5 (80-100% of enzyme activity). Becomes unstable at pH over 10, where the activity drops to 34% at pH 10.5 and to 8% at pH 11. {ECO:0000269|PubMed:19041687, ECO:0000269|Ref.2};",
2818,Q9SIU0,"Optimum pH is 6.4 for homodimer and 6.5 for NAD-MEH heterodimer. In the presence of coenzyme A (CoA), optimum pH is 6.8 for NAD-MEH heterodimer. {ECO:0000269|PubMed:18223148, ECO:0000269|PubMed:20133948};",
2829,Q9SQ68,"Optimum pH is 6.8 for reduction (forward reaction) of codeinone to codeine and 9.0 for the oxidation (reverse reaction) of codeine to codeinone. {ECO:0000269|PubMed:10417697, ECO:0000269|PubMed:29779229};",
2846,Q9SYT0,"Active at pH 7.0 and 9.0, but not at pH 5.5. {ECO:0000269|PubMed:16153598};",
2853,Q9TTE1,Stable in the pH range 4.0-12.0. Incubation at a pH below 4.0 rapidly decreases inhibitory activity. {ECO:0000269|PubMed:15647007};,
2888,Q9VCE9,"Active at pH 4 and 7.4 with ecdysone 22-phosphate (E22P), 3-epi-ecdysone 22-phosphate (E22P) or 3-epi-ecdysone 2-phosphate (E2P) as substrate. {ECO:0000269|PubMed:17348005};",
2916,Q9WZP2,"Optimum pH for protease activity is 7.1 (PubMed:11210524, PubMed:9872409). Nanocompartments are stable from pH 4-12, they reversibly disassemble at pH 1 and pH 13 (PubMed:27224728). {ECO:0000269|PubMed:11210524, ECO:0000269|PubMed:27224728, ECO:0000269|PubMed:9872409};",
2921,Q9X519,Very sensitive to pH. The enzyme activity rises 25-fold between pH 6 and 8. {ECO:0000269|PubMed:10388626};,
2927,Q9XDM9,"Optimum pH for cob(III)alamin reductase activity is pH 9.5, no major effect of pH was seen on cob(II)alamin reductase activity between pH 7-10. {ECO:0000269|PubMed:20656910};",
2945,Q9Y749,Active at pH 7 (up to 40 degrees Celsius for 30 min) and at pH 11 (up to 25 degrees Celsius). {ECO:0000269|PubMed:7763554};,
2947,Q9Y948,"Optimum pH is 6.5. Is extremely stable over a wide pH range: upon heating at 50 degrees Celsius for 60 minutes, the enzyme does not lose activity at pH 4.5-11.0. {ECO:0000269|PubMed:12529358};",
2956,Q9Z4J7,"Optimum pH is 9 in assays using artificial electron acceptors (PubMed:3144289). However, in a system with homogenous QEDH, cytochrome c550 and a membrane fraction of P.aeruginosa, electron transport from ethanol to O(2) is observed at the more physiological conditions of pH 7, and the system is inactive at pH 9 (PubMed:8380982). {ECO:0000269|PubMed:3144289, ECO:0000269|PubMed:8380982};",
2962,Q9ZGI2,"Optimum pH is between 8 and 8.4 (PubMed:12379101). In the thioesterase domain, the size of the substrate channel increases with increasing pH (PubMed:12379102). {ECO:0000269|PubMed:12379101, ECO:0000269|PubMed:12379102};",
2993,V5NC32,Optimum pH is 7.5-9 with ferricenium ion (Fc(+)) as electron acceptor. Optimum pH values vary between 2 and 10 depending on the electron acceptor (with D-glucose as substrate). {ECO:0000269|PubMed:17227387};,
2995,V5TBK6,"The heterodimer of A and B subunits is structurally stable between pH 5-8 in the presence of Ca(2+) and Zn(2+) ions. Stability decreases significantly in the presence of imidazole and glycine. Addition at nanomolar concentrations of glycosaminoglycans (GAGs), such as chondroitin sulfate, dermatan sulfate or hyaluronic acid to the buffer, increases its stability. {ECO:0000269|PubMed:24269369};",
3018,A0A0K2VM55,"Optimum pH is 8.0. Shows more than 60% of its maximum activity in the pH range of 7.0-9.5. 20% of the activity is retained at low pH range and at pH 10.5, while no catalytic activity is found at pH 5.0 or 10.5. {ECO:0000269|PubMed:27433797};",
3020,A0A0P0E482,Optimum hemagglutination activity at pH 7.4. Retains its hemagglutination activity throughout pH range 3-10. This protein is most stable at pH 7.4. {ECO:0000269|PubMed:28546025};,
3023,A0A0U4EBH5,"Optimum pH is 5 with carboxymethyl cellulose as substrate. Retains 80% activity at pH 6, and about 50% at pH 7. Inactive at pH values below 4 and above 9. {ECO:0000269|PubMed:26741138};",
3035,A0A219CM62,Stable from pH 3.0 to 12.0. {ECO:0000269|PubMed:32540219};,
3038,A0A2C9EVE6,Activity is slightly enhanced at pH 6.6 and pH 6.0. Retains only 10% of its maximal activity at pH 7.6 and is inactive at pH 8.0. {ECO:0000269|PubMed:16391073};,
3044,A0A6C7EEG6,"Optimum pH is 6.5 in the synthesis direction, and more than 50% of the maximum activity is retained within the pH range of 5.5 to 8. In the phosphorolytic direction, the optimum is reached at pH 6. {ECO:0000269|PubMed:31405215};",
3090,A5LGM7,"Wide extracellular pH range, between 4.0 and 9.0. {ECO:0000269|PubMed:17606922, ECO:0000269|PubMed:20035867};",
3093,A7B3K3,Transformation of DCA is more efficient at pH 10 than pH 7. {ECO:0000269|PubMed:26192599};,
3108,A8KRL3,Activity is lost at pH 6. {ECO:0000269|PubMed:19780837};,
3136,B2AM55,Optimally active at alkaline pHs. {ECO:0000269|PubMed:20481475};,
3138,B2MVM5,Stable from pH 2 to 12. {ECO:0000269|PubMed:18552180};,
3141,B2UPR7,Stable enzymatic activity between pH 7.0 and pH 9.0. Significant decrease in activity with pH lower than 7 and pH greater than 9.0. {ECO:0000269|PubMed:31345574};,
3142,B2UQG6,Optimum pH is approximately 7. Stable activity from pH 4.5 to 8.5. Retains more than 30% of activity at pH 9.0. {ECO:0000269|PubMed:32819592};,
3150,B3EWR5,"Optimum pH is 5.0 with pNP-GlcNAc and 4.0 with pNP-GalNAc. Half maximal activity observed at pH 3.0 and 6.5 with pNP-GlcNAc and at pH 2.5 and 5.5 with pNP-GalNAc. Retains over 90% of its activity between pH 6.5-8.0 with pNP-GlcNAc, and between pH 6.0-7.5 with pNP-GalNAc. {ECO:0000269|PubMed:23602380};",
3179,C0HJF7,Trypsin inhibitory activity is stable after incubation at pH 2 to pH 10 at 60 degrees Celsius for 1 hour. {ECO:0000269|PubMed:24523715};,
3180,C0HJR3,Optimum pH for hemagglutinating activity is 7.4. {ECO:0000269|PubMed:21210196};,
3181,C0HJU2,Highest activity at neutral to basic pH. Reduced activity at pH 3.0. {ECO:0000269|PubMed:22008900};,
3186,C0HK81,Optimum pH for hemagglutinating activity is between pH 5 and pH 7. Activity quickly decreases outside this range. {ECO:0000269|PubMed:26464029};,
3187,C0HKQ3,Activity is stable between pH 2 and 11. {ECO:0000269|Ref.1};,
