,ec_num,ph_min,ph_max,comments,organism,uniprot_id,ref,substrates,products,notes,reaction_type,substrates_rev,condition,to_fix,notes.1,subst_str,rxn_type_guess,all_substrates,name
743,1.3.7.8,6,9,inactive below pH 6.0 and above pH 9.0,Thauera aromatica,O87876,763255,"{'3-bromobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-hydroxybenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', 'benzoyl-CoA + reduced acceptor + ATP + H2O', 'benzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-bromobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-hydroxybenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', 'benzoyl-CoA + reduced ferredoxin + ATP + H2O', '3-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O'}","{'4-methylcyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '3-chlorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '2-hydroxycyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '3-bromocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '3-fluorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', 'cyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '4-chlorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', 'cyclohexa-1,5-diene-1-carboxyl-CoA + oxidized ferredoxin + ADP + phosphate', '3-methylcyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '2-methylcyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '4-fluorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', 'cyclohexa-1,5-diene-1-carbonyl-CoA + acceptor + ADP + phosphate', '2-fluorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '3-hydroxycyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '2-chlorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '4-bromocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate'}",,,,,,,"{'3-bromobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-hydroxybenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', 'benzoyl-CoA + reduced acceptor + ATP + H2O', 'benzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-bromobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-hydroxybenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', 'benzoyl-CoA + reduced ferredoxin + ATP + H2O', '3-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O'}",oxidation_or_reduction,"{'3-chlorobenzoyl-CoA', '3-bromobenzoyl-CoA', '2-hydroxybenzoyl-CoA', '2-fluorobenzoyl-CoA', '2-chlorobenzoyl-CoA', 'reduced ferredoxin', '4-methylbenzoyl-CoA', 'ATP', '4-bromobenzoyl-CoA', '4-chlorobenzoyl-CoA', '4-fluorobenzoyl-CoA', 'H2O', '2-methylbenzoyl-CoA', '3-fluorobenzoyl-CoA', 'benzoyl-CoA', '3-methylbenzoyl-CoA', '3-hydroxybenzoyl-CoA', 'reduced acceptor'}",benzoyl-CoA reductase
746,1.3.7.8,6,9,inactive below pH 6.0 and above pH 9.0,Thauera aromatica,O87877,763255,"{'3-bromobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-hydroxybenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', 'benzoyl-CoA + reduced acceptor + ATP + H2O', 'benzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-bromobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-hydroxybenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', 'benzoyl-CoA + reduced ferredoxin + ATP + H2O', '3-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O'}","{'4-methylcyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '3-chlorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '2-hydroxycyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '3-bromocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '3-fluorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', 'cyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '4-chlorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', 'cyclohexa-1,5-diene-1-carboxyl-CoA + oxidized ferredoxin + ADP + phosphate', '3-methylcyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '2-methylcyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '4-fluorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', 'cyclohexa-1,5-diene-1-carbonyl-CoA + acceptor + ADP + phosphate', '2-fluorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '3-hydroxycyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '2-chlorocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate', '4-bromocyclohexa-1,5-diene-1-carbonyl-CoA + oxidized ferredoxin + 2 ADP + 2 phosphate'}",,,,,,,"{'3-bromobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-hydroxybenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', 'benzoyl-CoA + reduced acceptor + ATP + H2O', 'benzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '3-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-bromobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-methylbenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-hydroxybenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '2-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', '4-fluorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O', 'benzoyl-CoA + reduced ferredoxin + ATP + H2O', '3-chlorobenzoyl-CoA + reduced ferredoxin + 2 ATP + 2 H2O'}",oxidation_or_reduction,"{'3-chlorobenzoyl-CoA', '3-bromobenzoyl-CoA', '2-hydroxybenzoyl-CoA', '2-fluorobenzoyl-CoA', '2-chlorobenzoyl-CoA', 'reduced ferredoxin', '4-methylbenzoyl-CoA', 'ATP', '4-bromobenzoyl-CoA', '4-chlorobenzoyl-CoA', '4-fluorobenzoyl-CoA', 'H2O', '2-methylbenzoyl-CoA', '3-fluorobenzoyl-CoA', 'benzoyl-CoA', '3-methylbenzoyl-CoA', '3-hydroxybenzoyl-CoA', 'reduced acceptor'}",benzoyl-CoA reductase
733,1.3.1.84,7.5,-,half-maximal activity,Sulfurisphaera tokodaii,Q975C8,698624,"{'acryloyl-CoA + NADPH + H+', '3-hydroxypropanoyl-CoA', 'acrylyl-CoA + NADPH + H+', '(S)-3-hydroxybutyryl-CoA'}","{'acryloyl-CoA + H2O', 'crotonyl-CoA + H2O', 'propanoyl-CoA + NADP+'}",,,,,,,"{'acryloyl-CoA + NADPH + H+', '3-hydroxypropanoyl-CoA', 'acrylyl-CoA + NADPH + H+', '(S)-3-hydroxybutyryl-CoA'}",reduction,"{'acryloyl-CoA', 'H+', '3-hydroxypropanoyl-CoA', '(S)-3-hydroxybutyryl-CoA', 'acrylyl-CoA', 'NADPH'}",acrylyl-CoA reductase (NADPH)
4200,1.3.1.77,7,8.9,"pH 7.0: about 40% of maximal activity, pH 8.9: about 90% of maximal activity",Arabidopsis thaliana,Q9SEV0,654366,"{'delphinidin + NADPH', 'pelargonidin + NADPH', 'pelargonidin + 2 NADPH + H+', 'delphinidin + 2 NADPH + H+', 'anthocyanidin + NAD(P)H', '(-)-epicatechin + NADH + H+', 'cyanidin + NADPH + H+', 'cyanidin + NADPH'}","{'(-)-epigallocatechin + 2 NADP+', '(-)-epicatechin + NAD(P)+', '(-)-epigallocatechin + (-)-gallocatechin + NADP+ + H2O', 'cyanidin + NAD+', '(-)-epiafzelechin + (-)-afzelechin + NADP+ + H2O', '(-)-epicatechin + NADP+ + H2O', '(-)-epiafzelechin + 2 NADP+', '2,3-cis-flavan-3-ol + NAD(P)+', '(-)-epicatechin + (-)-catechin + NADP+ + H2O'}",,,,,,,"{'delphinidin + NADPH', 'pelargonidin + NADPH', 'pelargonidin + 2 NADPH + H+', 'delphinidin + 2 NADPH + H+', 'anthocyanidin + NAD(P)H', '(-)-epicatechin + NADH + H+', 'cyanidin + NADPH + H+', 'cyanidin + NADPH'}",reduction,"{'cyanidin', 'H+', 'delphinidin', 'anthocyanidin', 'pelargonidin', '(-)-epicatechin', 'NADH', 'NAD(P)H', 'NADPH'}","anthocyanidin reductase [(2R,3R)-flavan-3-ol-forming]"
727,1.3.1.31,6.8,8,"pH 6.8: about 75% of maximal activity, pH 8.0: about 80% of maximal activity",Clostridium sporogenes,A0A142FJE4,763450,"{'p-coumaric acid + NADH + H+', '(E)-2-nitro-1-phenylpropene + NADH + H+', '(E)-1-nitro-2-phenylpropene + NADH + H+'}","{'(S)-2-nitro-1-phenylpropane + NAD+', '(R)-1-nitro-2-phenylpropane + NAD+', '? + NAD+'}",,,,,,,"{'p-coumaric acid + NADH + H+', '(E)-2-nitro-1-phenylpropene + NADH + H+', '(E)-1-nitro-2-phenylpropene + NADH + H+'}",reduction,"{'(E)-1-nitro-2-phenylpropene', 'H+', 'p-coumaric acid', '(E)-2-nitro-1-phenylpropene', 'NADH'}",2-enoate reductase
723,1.3.1.14,6.5,-,"70% of maximal activity, dihydrorotate oxidase reaction",Bifidobacterium bifidum,B7X933,701809,"{'(S)-dihydroorotate + acceptor', 'dihydroorotate + NAD+'}","{'orotate + reduced acceptor', 'orotate + NADH + H+'}",,,,,,,"{'(S)-dihydroorotate + acceptor', 'dihydroorotate + NAD+'}",oxidation,"{'NAD+', 'dihydroorotate', '(S)-dihydroorotate', 'acceptor'}",dihydroorotate dehydrogenase (NAD+)
4173,1.3.1.2,6.7,7.9,"about 80% of activity maximum at pH 6.7 and 7.9, uracil reduction",Rattus norvegicus,O89000,349210,"{'thymine + NADPH', 'uracil + NADPH', '5,6-dihydrouracil + NADP+'}","{'uracil + NADPH', '5,6-dihydrouracil + NADP+', 'dihydrothymine + NADP+'}",,,,,,,"{'thymine + NADPH', 'uracil + NADPH', '5,6-dihydrouracil + NADP+'}",oxidation_or_reduction,"{'NADP+', '5,6-dihydrouracil', 'thymine', 'NADPH', 'uracil'}",dihydropyrimidine dehydrogenase (NADP+)
4179,1.3.1.24,6,9,"biliverdin + NADPH, pH 6: about 50% of activity maximum, pH 9: 27% of activity maximum",Bos taurus,P52556,437792,"{'bilirubin + NAD+', 'bilirubin + NADP+', 'biliverdin IXalpha + NAD(P)H + H+', 'bilirubin-IXa + NAD+', 'bilirubin-IXa + NADP+', 'biliverdin IXalpha + NADH + H+', 'biliverdin IXalpha + NADPH + H+', 'bilirubin + NAD(P)+'}","{'biliverdin + NADH + H+', 'biliverdin + NADPH + H+', 'bilirubin IXalpha + NAD+', 'biliverdin + NAD(P)H + H+', 'biliverdin-IXa + NADH + H+', 'biliverdin-IXa + NADPH + H+', 'bilirubin IXalpha + NADP+', 'bilirubin + NAD(P)+'}",,,,,,,"{'bilirubin + NAD+', 'bilirubin + NADP+', 'biliverdin IXalpha + NAD(P)H + H+', 'bilirubin-IXa + NAD+', 'bilirubin-IXa + NADP+', 'biliverdin IXalpha + NADH + H+', 'biliverdin IXalpha + NADPH + H+', 'bilirubin + NAD(P)+'}",oxidation_or_reduction,"{'NADP+', 'bilirubin', 'H+', 'bilirubin-IXa', 'NAD(P)+', 'biliverdin IXalpha', 'NADH', 'NAD(P)H', 'NAD+', 'NADPH'}",biliverdin reductase
726,1.3.1.31,6,8,"pH 6.0: about 85% of maximal activity, pH 8.0: about 80% of maximal activity",Artemisia annua,C0LNV1,762858,"{'beta-ionone + NADPH + H+', '2E-nonenal + NADPH + H+', 'artemisinic aldehyde + NADPH + H+', '2E-hexenal + NADPH + H+'}","{'? + NADP+', 'dihydro-beta-ionone + NADP+'}",,,,,,,"{'beta-ionone + NADPH + H+', '2E-nonenal + NADPH + H+', 'artemisinic aldehyde + NADPH + H+', '2E-hexenal + NADPH + H+'}",reduction,"{'2E-hexenal', 'H+', '2E-nonenal', 'beta-ionone', 'artemisinic aldehyde', 'NADPH'}",2-enoate reductase
730,1.3.1.31,9,-,only 30% of highest activity at pH 9,Achromobacter sp.,I3V5V6,724100,"{'2-methyl-N-phenylmaleimide + NADH + H+', '2-methyl-N-phenylmaleimide + NADPH'}","{'(3R)-3-methyl-1-phenylpyrrolidine-2,5-dione + NAD+', '(3R)-3-methyl-1-phenylpyrrolidine-2,5-dione + NADP+'}",,,,,,,"{'2-methyl-N-phenylmaleimide + NADH + H+', '2-methyl-N-phenylmaleimide + NADPH'}",reduction,"{'H+', '2-methyl-N-phenylmaleimide', 'NADH', 'NADPH'}",2-enoate reductase
4182,1.3.1.31,4.5,6.2,about 65% of maximal activity at pH 4.5 and at pH 6.2,Clostridium tyrobutyricum,P11887,390673,"{'butenoate + reduced methyl viologen', '(E)-2-methyl-2-butenoate + NADH', '(Z)-2-bromocinnamate + NADH', 'butenoate + NADH', '(E)-2-methylbutenoate + reduced methylviologen', '(E)-geraniate + NADH', 'cinnamate + NADH', '(Z)-geraniate + NADH', '(E)-2-methylbutenoate + NADH'}","{'3-(2-bromophenyl)propionate + NAD+', '?', 'phenylpropionate + NAD+', 'butanoate + NAD+', '2-methylbutanoate + NAD+', '(R)-2-methylbutanoate + NAD+', '(R)-2-methylbutanoate + methyl viologen', 'butanoate + methyl viologen'}",,,,,,,"{'butenoate + reduced methyl viologen', '(E)-2-methyl-2-butenoate + NADH', '(Z)-2-bromocinnamate + NADH', 'butenoate + NADH', '(E)-2-methylbutenoate + reduced methylviologen', '(E)-geraniate + NADH', 'cinnamate + NADH', '(Z)-geraniate + NADH', '(E)-2-methylbutenoate + NADH'}",reduction,"{'reduced methyl viologen', '(E)-geraniate', '(Z)-geraniate', '(E)-2-methylbutenoate', '(E)-2-methyl-2-butenoate', 'reduced methylviologen', 'butenoate', 'NADH', 'cinnamate', '(Z)-2-bromocinnamate'}",2-enoate reductase
4190,1.3.1.44,5.2,7,less than 50% of maximal activity above pH 7.0 and below pH 5.2,Euglena gracilis,Q5EU90,390806,"{'acyl-CoA + NAD+', 'crotonyl-CoA + NADH', 'trans-didehydroacyl-CoA + NAD(P)H'}","{'trans-2,3-didehydroacyl-CoA + NADH', 'butyryl-CoA + NAD+', 'acyl-CoA + NAD(P)+'}",,,,,,,"{'acyl-CoA + NAD+', 'crotonyl-CoA + NADH', 'trans-didehydroacyl-CoA + NAD(P)H'}",oxidation_or_reduction,"{'acyl-CoA', 'NAD(P)H', 'NADH', 'crotonyl-CoA', 'trans-didehydroacyl-CoA', 'NAD+'}",trans-2-enoyl-CoA reductase (NAD+)
4193,1.3.1.70,5.2,6.8,about 50% of maximum activity,Saccharomyces cerevisiae,P32462,288489,"{'4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + NADPH', 'ergosta-8,14-dien-3beta-ol + NADPH'}","{'ergosta-8-en-3beta-ol + NADP+', '4,4-dimethyl-5alpha-cholesta-8,24-dien-3beta-ol + NADP+'}",,,,,,,"{'4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + NADPH', 'ergosta-8,14-dien-3beta-ol + NADPH'}",reduction,"{'4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol', 'ergosta-8,14-dien-3beta-ol', 'NADPH'}",DELTA14-sterol reductase
4196,1.3.1.74,5.3,6.6,50% activity at pH 5.3 and pH 6.6,Arabidopsis thaliana,Q39172,636484,"{'(2E)-nonenal + NAD(P)H', '4-hydroxy-(2E)-hexenal + NAD(P)H', 'propenal + NAD(P)H', 'n-alkanal + NAD(P)+', '4-hydroxy-(2E)-nonenal + NAD(P)H', '(2E)-pentenal + NAD(P)H', '3-buten-2-one + NAD(P)H', '(2E)-hexenal + NAD(P)H', '3-penten-2-one + NAD(P)H'}","{'n-hexanal + NAD(P)+', '4-hydroxyhexenal + NAD(P)+', 'alk-2-enal + NAD(P)H', '4-hydroxynonylaldehyde + NAD(P)+', '2-butanone + NAD(P)+', 'n-nonanal + NAD(P)+', '2-pentanone + NAD(P)+', 'propanal + NAD(P)+', 'n-pentanal + NAD(P)+'}",,,,,,,"{'(2E)-nonenal + NAD(P)H', '4-hydroxy-(2E)-hexenal + NAD(P)H', 'propenal + NAD(P)H', 'n-alkanal + NAD(P)+', '4-hydroxy-(2E)-nonenal + NAD(P)H', '(2E)-pentenal + NAD(P)H', '3-buten-2-one + NAD(P)H', '(2E)-hexenal + NAD(P)H', '3-penten-2-one + NAD(P)H'}",oxidation_or_reduction,"{'n-alkanal', '4-hydroxy-(2E)-nonenal', '3-buten-2-one', 'NAD(P)+', '(2E)-pentenal', '(2E)-hexenal', 'propenal', '4-hydroxy-(2E)-hexenal', 'NAD(P)H', '3-penten-2-one', '(2E)-nonenal'}",2-alkenal reductase [NAD(P)+]
4197,1.3.1.74,5.3,6.6,50% activity at pH 5.3 and pH 6.6,Arabidopsis thaliana,Q39173,636484,"{'(2E)-nonenal + NAD(P)H', '4-hydroxy-(2E)-hexenal + NAD(P)H', 'propenal + NAD(P)H', 'n-alkanal + NAD(P)+', '4-hydroxy-(2E)-nonenal + NAD(P)H', '(2E)-pentenal + NAD(P)H', '3-buten-2-one + NAD(P)H', '(2E)-hexenal + NAD(P)H', '3-penten-2-one + NAD(P)H'}","{'n-hexanal + NAD(P)+', '4-hydroxyhexenal + NAD(P)+', 'alk-2-enal + NAD(P)H', '4-hydroxynonylaldehyde + NAD(P)+', '2-butanone + NAD(P)+', 'n-nonanal + NAD(P)+', '2-pentanone + NAD(P)+', 'propanal + NAD(P)+', 'n-pentanal + NAD(P)+'}",,,,,,,"{'(2E)-nonenal + NAD(P)H', '4-hydroxy-(2E)-hexenal + NAD(P)H', 'propenal + NAD(P)H', 'n-alkanal + NAD(P)+', '4-hydroxy-(2E)-nonenal + NAD(P)H', '(2E)-pentenal + NAD(P)H', '3-buten-2-one + NAD(P)H', '(2E)-hexenal + NAD(P)H', '3-penten-2-one + NAD(P)H'}",oxidation_or_reduction,"{'n-alkanal', '4-hydroxy-(2E)-nonenal', '3-buten-2-one', 'NAD(P)+', '(2E)-pentenal', '(2E)-hexenal', 'propenal', '4-hydroxy-(2E)-hexenal', 'NAD(P)H', '3-penten-2-one', '(2E)-nonenal'}",2-alkenal reductase [NAD(P)+]
861,1.7.1.6,8,9,maximal activity,Cereibacter sphaeroides,Q8GKS3,695803,"{'anthraquinone-2-sulfonate + NADPH + H+', '2-hydroxy-1,4-naphthoquinone + NADPH + H+', 'anthraquinone-2,6-disulfonate + NADPH + H+', '2-methyl-1,4-naphthoquinone + NADPH + H+'}",{'?'},,,,,,,"{'anthraquinone-2-sulfonate + NADPH + H+', '2-hydroxy-1,4-naphthoquinone + NADPH + H+', 'anthraquinone-2,6-disulfonate + NADPH + H+', '2-methyl-1,4-naphthoquinone + NADPH + H+'}",reduction,"{'2-hydroxy-1,4-naphthoquinone', 'H+', 'anthraquinone-2-sulfonate', '2-methyl-1,4-naphthoquinone', 'anthraquinone-2,6-disulfonate', 'NADPH'}",azobenzene reductase
4137,1.2.1.47,6.2,10.5,"pH 6.2: about 30% of activity maximum, pH 10.5: about 15% of activity maximum",Bos taurus,Q2KJH9,288254,"{'4-trimethylaminobutyraldehyde + NAD+', 'propionaldehyde + NAD+', 'acetaldehyde + NAD+ + H2O'}","{'propionate + NADH', 'acetate + NADH + H+', '4-trimethylaminobutyrate + NADH + H+'}",,,,,,,"{'4-trimethylaminobutyraldehyde + NAD+', 'propionaldehyde + NAD+', 'acetaldehyde + NAD+ + H2O'}",oxidation,"{'H2O', 'propionaldehyde', '4-trimethylaminobutyraldehyde', 'NAD+', 'acetaldehyde'}",4-trimethylammoniobutyraldehyde dehydrogenase
905,1.8.5.8,8,9,more than 70% activity between pH 8.0 and 9.0,Urechis unicinctus,H2KXA2,745666,"{'hydrogen sulfide + glutathione + quinone', 'hydrogen sulfide + glutathione + ubiquinone', 'hydrogen sulfide + glutathione + coenzyme Q', 'hydrogen sulfide + glutathione + a quinone'}","{'S-sulfanylglutathione + reduced coenzyme Q', 'S-sulfanylglutathione + quinol', 'S-sulfanylglutathione + a quinol', 'S-sulfanylglutathione + ubiquinol'}",,,,,,,"{'hydrogen sulfide + glutathione + quinone', 'hydrogen sulfide + glutathione + ubiquinone', 'hydrogen sulfide + glutathione + coenzyme Q', 'hydrogen sulfide + glutathione + a quinone'}",not_found,"{'quinone', 'hydrogen sulfide', 'a quinone', 'coenzyme Q', 'ubiquinone', 'glutathione'}",eukaryotic sulfide quinone oxidoreductase
6424,1.97.1.1,5.5,9,"pH 5.0: about 85% of maximal activity, pH 9.0: about 75% of maximal activity",Haloferax mediterranei,I3R9M8,729317,"{'nitrite + acceptor', 'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'reduced acceptor + perchlorate'}","{'chlorite + H2O + methyl viologen', 'acceptor + H2O + chlorite', 'nitrate + reduced acceptor', 'acceptor + H2O + chlorate'}",,,,,,,"{'nitrite + acceptor', 'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'reduced acceptor + perchlorate'}",oxidation_or_reduction,"{'perchlorate', 'reduced methyl viologen', 'nitrite', 'chlorate', 'reduced acceptor', 'acceptor'}",chlorate reductase
908,1.97.1.1,5.5,9,"pH 5.0: about 85% of maximal activity, pH 9.0: about 75% of maximal activity",Haloferax mediterranei,I3R9M9,729317,"{'nitrite + acceptor', 'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'reduced acceptor + perchlorate'}","{'chlorite + H2O + methyl viologen', 'acceptor + H2O + chlorite', 'nitrate + reduced acceptor', 'acceptor + H2O + chlorate'}",,,,,,,"{'nitrite + acceptor', 'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'reduced acceptor + perchlorate'}",oxidation_or_reduction,"{'perchlorate', 'reduced methyl viologen', 'nitrite', 'chlorate', 'reduced acceptor', 'acceptor'}",chlorate reductase
909,1.97.1.1,5.5,10,50% of maximum activity at pH 5.5 and 10,Stutzerimonas chloritidismutans,P83448,659023,"{'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'AH2 + chlorate', 'bromate + reduced methyl viologen'}","{'A + H2O + chlorite', 'acceptor + H2O + chlorite', 'chlorite + H2O + methyl viologen', 'bromite + H2O + methyl viologen'}",,,,,,,"{'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'AH2 + chlorate', 'bromate + reduced methyl viologen'}",reduction,"{'reduced methyl viologen', 'bromate', 'AH2', 'chlorate', 'reduced acceptor'}",chlorate reductase
910,1.97.1.1,5.5,10,50% of maximum activity at pH 5.5 and 10,Stutzerimonas chloritidismutans,P83449,659023,"{'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'AH2 + chlorate', 'bromate + reduced methyl viologen'}","{'A + H2O + chlorite', 'acceptor + H2O + chlorite', 'chlorite + H2O + methyl viologen', 'bromite + H2O + methyl viologen'}",,,,,,,"{'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'AH2 + chlorate', 'bromate + reduced methyl viologen'}",reduction,"{'reduced methyl viologen', 'bromate', 'AH2', 'chlorate', 'reduced acceptor'}",chlorate reductase
911,1.97.1.1,5.5,10,50% of maximum activity at pH 5.5 and 10,Stutzerimonas chloritidismutans,P83450,659023,"{'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'AH2 + chlorate', 'bromate + reduced methyl viologen'}","{'A + H2O + chlorite', 'acceptor + H2O + chlorite', 'chlorite + H2O + methyl viologen', 'bromite + H2O + methyl viologen'}",,,,,,,"{'reduced acceptor + chlorate', 'chlorate + reduced methyl viologen', 'AH2 + chlorate', 'bromate + reduced methyl viologen'}",reduction,"{'reduced methyl viologen', 'bromate', 'AH2', 'chlorate', 'reduced acceptor'}",chlorate reductase
